IRTT,"	ORTT","	T1","		G","		HNG","		phiL","	phiR","	UX1	","	UY1","		UX2	","	UY2","		UX3	","	UY3	","	UX4	","	UY4	","	UX5","		UY5","		UX6","		UY6	","	MaxVM", Error
0.006,0.011,0.26,0.03,0.03,0.2,0.2,-0.482596,-0.028673,-0.175805,-0.003494,-0.144126,0.000119,0.160457,0.044664,0.178772,0.043901,0.478595,-0.025823,914416064,0.432949
0.006,0.011,0.05,0.03,0.03,0.2,0.2,-0.480043,-0.026958,-0.176849,0.026222,-0.150942,0.029056,0.156578,0.042702,0.178363,0.040796,0.478845,-0.026028,145492816,0.561693
0.003,0.02,0.36,0.03,0.03,0.2,0.2,-0.484164,-0.029567,-0.176463,-0.02093,-0.14207,-0.017266,0.160546,0.039111,0.178124,0.038859,0.479002,-0.026155,41379072,0.339248
0.011,0.027,0.16,0.03,0.03,0.2,0.2,-0.480855,-0.027541,-0.17621,0.016575,-0.148213,0.019772,0.158536,0.045465,0.178785,0.043992,0.478587,-0.025817,21011986,0.528938
0.005,0.012,0.06,0.03,0.03,0.2,0.2,-0.480254,-0.027113,-0.176653,0.023694,-0.15017,0.026636,0.157179,0.043705,0.178508,0.041921,0.478754,-0.025954,123830760,0.554165
0.002,0.013,0.19,0.03,0.03,0.2,0.2,-0.482643,-0.028701,-0.175811,-0.004018,-0.144045,-0.0004,0.160478,0.044555,0.17876,0.043809,0.478602,-0.025829,172622432,0.43032
0.007,0.011,0.16,0.03,0.03,0.2,0.2,-0.482071,-0.028347,-0.175796,0.002481,-0.145141,0.006012,0.160124,0.045616,0.178877,0.04466,0.478534,-0.025772,342834784,0.463662
0.007,0.02,0.63,0.03,0.03,0.2,0.2,-0.487909,-0.031286,-0.181471,-0.060445,-0.142244,-0.057784,0.15745,0.012492,0.176063,0.01339,0.481127,-0.027728,138157440,0.141254
0.013,0.021,0.29,0.03,0.03,0.2,0.2,-0.483055,-0.028946,-0.175902,-0.008656,-0.143379,-0.004999,0.16061,0.043431,0.178627,0.042826,0.478681,-0.025894,22474862,0.405373
0.002,0.023,0.37,0.03,0.03,0.2,0.2,-0.483604,-0.029261,-0.176123,-0.014768,-0.142646,-0.011091,0.160648,0.041516,0.178401,0.04109,0.478821,-0.026009,59134424,0.372555
0.003,0.02,0.04,0.03,0.03,0.2,0.2,-0.479815,-0.026787,-0.177082,0.028959,-0.151829,0.031665,0.155842,0.041331,0.178175,0.039285,0.478968,-0.026127,17726256,0.568218
0.009,0.023,0.07,0.03,0.03,0.2,0.2,-0.480094,-0.026996,-0.176799,0.025603,-0.150749,0.028465,0.156732,0.042969,0.178401,0.041094,0.478821,-0.026009,19666440,0.560183
0.014,0.025,0.55,0.03,0.03,0.2,0.2,-0.485392,-0.030193,-0.177595,-0.0342,-0.141378,-0.030688,0.159916,0.032371,0.177418,0.032488,0.479523,-0.026565,61198660,0.268329
0.004,0.012,0.11,0.03,0.03,0.2,0.2,-0.481173,-0.027759,-0.176041,0.012852,-0.147304,0.016157,0.159081,0.04588,0.178862,0.044555,0.478542,-0.025779,174321008,0.513166
0.011,0.015,0.13,0.03,0.03,0.2,0.2,-0.481284,-0.027834,-0.175993,0.011563,-0.147006,0.014902,0.159247,0.045955,0.17888,0.044679,0.478532,-0.025771,149517616,0.507373
0.006,0.012,0.16,0.03,0.03,0.2,0.2,-0.482142,-0.028392,-0.175791,0.001673,-0.144994,0.005217,0.160179,0.045519,0.178867,0.04459,0.478539,-0.025777,241207328,0.459466
0.006,0.022,0.22,0.03,0.03,0.2,0.2,-0.481896,-0.028236,-0.175817,0.004483,-0.145518,0.007978,0.159971,0.045812,0.178895,0.044789,0.478523,-0.025763,41601332,0.473632
0.003,0.013,0.02,0.03,0.03,0.2,0.2,-0.479618,-0.026638,-0.177304,0.031334,-0.152647,0.033917,0.155118,0.039849,0.177983,0.037672,0.479099,-0.026232,37780016,0.571895
0.003,0.022,0.34,0.03,0.03,0.2,0.2,-0.483448,-0.029172,-0.176049,-0.013037,-0.142837,-0.009362,0.160652,0.042107,0.17847,0.041631,0.478778,-0.025973,41536544,0.381802
0.02,0.027,0.19,0.03,0.03,0.2,0.2,-0.481147,-0.027741,-0.176053,0.013155,-0.147375,0.016452,0.15904,0.045858,0.178858,0.04452,0.478545,-0.025781,35074860,0.514533
0.005,0.027,0.27,0.03,0.03,0.2,0.2,-0.481923,-0.028253,-0.175813,0.004172,-0.145458,0.007674,0.159996,0.045786,0.178893,0.044773,0.478525,-0.025764,27786932,0.472217
0.006,0.019,0.03,0.03,0.03,0.2,0.2,-0.479709,-0.026707,-0.177199,0.030235,-0.152263,0.032877,0.155464,0.040572,0.178075,0.038457,0.479035,-0.026181,18144422,0.570583
0.004,0.023,0.1,0.03,0.03,0.2,0.2,-0.480421,-0.027233,-0.176514,0.021708,-0.149594,0.024728,0.157604,0.044341,0.178604,0.042648,0.478696,-0.025906,21719052,0.547527
0.003,0.014,0.47,0.03,0.03,0.2,0.2,-0.487356,-0.031067,-0.180448,-0.054783,-0.141799,-0.051869,0.158085,0.017591,0.176304,0.018306,0.480708,-0.027438,431181856,0.166351
0.008,0.026,0.34,0.03,0.03,0.2,0.2,-0.482798,-0.028794,-0.175838,-0.005766,-0.143783,-0.002131,0.160539,0.044166,0.178714,0.043474,0.478629,-0.025851,24321090,0.421079
0.016,0.021,0.16,0.03,0.03,0.2,0.2,-0.48124,-0.027804,-0.176011,0.012069,-0.147122,0.015395,0.159183,0.04593,0.178873,0.044634,0.478536,-0.025774,67153288,0.509218
0.02,0.028,0.5,0.03,0.03,0.2,0.2,-0.484149,-0.029559,-0.176452,-0.020759,-0.142083,-0.017094,0.160551,0.039184,0.178132,0.038927,0.478997,-0.026151,56923344,0.340014
0.022,0.03,0.46,0.03,0.03,0.2,0.2,-0.483442,-0.029169,-0.176046,-0.012969,-0.142845,-0.009294,0.160652,0.042129,0.178473,0.041651,0.478776,-0.025972,48001776,0.382276
0.011,0.025,0.04,0.03,0.03,0.2,0.2,-0.479736,-0.026728,-0.177169,0.029911,-0.152151,0.032569,0.155562,0.040773,0.178101,0.038675,0.479017,-0.026167,10408427,0.570063
0.019,0.028,0.69,0.03,0.03,0.2,0.2,-0.486071,-0.030512,-0.178441,-0.041402,-0.141317,-0.038047,0.159376,0.027821,0.17701,0.02814,0.479883,-0.026839,110496944,0.231077
0.011,0.021,0.06,0.03,0.03,0.2,0.2,-0.480037,-0.026953,-0.176854,0.02629,-0.150963,0.029122,0.156561,0.042671,0.178359,0.040763,0.478848,-0.02603,26466350,0.561954
0.006,0.017,0.44,0.03,0.03,0.2,0.2,-0.486265,-0.0306,-0.17871,-0.043445,-0.14134,-0.040144,0.159201,0.026413,0.176895,0.02679,0.479995,-0.026922,99602400,0.220911
0.01,0.017,0.06,0.03,0.03,0.2,0.2,-0.480152,-0.027038,-0.176745,0.024911,-0.150536,0.027803,0.156898,0.04325,0.178442,0.041409,0.478796,-0.025988,53682680,0.558104
0.015,0.022,0.2,0.03,0.03,0.2,0.2,-0.481658,-0.028081,-0.175867,0.007229,-0.146066,0.01067,0.159726,0.045974,0.178904,0.044855,0.478518,-0.025759,57998492,0.487142
0.007,0.022,0.39,0.03,0.03,0.2,0.2,-0.483836,-0.029389,-0.17625,-0.01733,-0.142386,-0.013653,0.160622,0.040573,0.178291,0.04022,0.478892,-0.026066,167273248,0.35871
0.011,0.019,0.25,0.03,0.03,0.2,0.2,-0.482869,-0.028836,-0.175853,-0.006568,-0.143667,-0.002926,0.160562,0.043974,0.178692,0.043305,0.478643,-0.025862,17462774,0.416751
0.007,0.023,0.14,0.03,0.03,0.2,0.2,-0.480875,-0.027554,-0.176199,0.016343,-0.148154,0.019547,0.158573,0.0455,0.178791,0.044037,0.478584,-0.025814,28550582,0.527326
0.015,0.029,0.21,0.03,0.03,0.2,0.2,-0.481212,-0.027785,-0.176024,0.012402,-0.147199,0.01572,0.15914,0.04591,0.178869,0.044602,0.478538,-0.025776,23578614,0.51072
0.014,0.024,0.33,0.03,0.03,0.2,0.2,-0.483015,-0.028923,-0.17589,-0.008209,-0.143439,-0.004554,0.160601,0.043552,0.178642,0.042934,0.478673,-0.025887,22312790,0.407883
0.007,0.015,0.46,0.03,0.03,0.2,0.2,-0.487055,-0.030942,-0.179932,-0.051678,-0.141617,-0.048643,0.158413,0.020183,0.176454,0.020802,0.480497,-0.027288,335596768,0.18086
0.006,0.022,0.08,0.03,0.03,0.2,0.2,-0.480237,-0.027101,-0.176668,0.023894,-0.15023,0.026828,0.157134,0.043634,0.178498,0.041841,0.478761,-0.025959,22649678,0.554642
0.017,0.026,0.08,0.03,0.03,0.2,0.2,-0.480113,-0.02701,-0.176781,0.025376,-0.150679,0.028248,0.156787,0.043063,0.178415,0.041199,0.478812,-0.026002,19367906,0.559353
0.006,0.013,0.31,0.03,0.03,0.2,0.2,-0.484424,-0.029705,-0.176658,-0.023761,-0.141859,-0.020115,0.160456,0.03785,0.177983,0.037678,0.479098,-0.026232,489917088,0.324182
0.006,0.021,0.59,0.03,0.03,0.2,0.2,-0.486983,-0.030912,-0.179811,-0.050929,-0.141579,-0.047867,0.15849,0.020788,0.176492,0.021384,0.480448,-0.027253,90487320,0.184288
0.012,0.018,0.19,0.03,0.03,0.2,0.2,-0.48196,-0.028276,-0.175808,0.003756,-0.145379,0.007265,0.160029,0.045748,0.17889,0.04475,0.478527,-0.025766,98478352,0.469848
0.005,0.017,0.05,0.03,0.03,0.2,0.2,-0.480015,-0.026937,-0.176876,0.02656,-0.151048,0.029379,0.156493,0.04255,0.178342,0.040627,0.478859,-0.026039,37275292,0.562501
0.006,0.017,0.16,0.03,0.03,0.2,0.2,-0.481642,-0.028071,-0.175871,0.00741,-0.146103,0.010848,0.159708,0.04598,0.178904,0.044855,0.478518,-0.025759,79122432,0.487763
0.012,0.019,0.63,0.03,0.03,0.2,0.2,-0.488658,-0.031565,-0.183001,-0.068013,-0.143073,-0.06576,0.156544,0.004841,0.175842,0.006003,0.481764,-0.02815,79265328,0.110074
0.012,0.018,0.29,0.03,0.03,0.2,0.2,-0.483641,-0.029281,-0.176142,-0.015173,-0.142603,-0.011495,0.160646,0.041373,0.178384,0.040958,0.478832,-0.026018,30839250,0.370622
0.012,0.026,0.07,0.03,0.03,0.2,0.2,-0.480015,-0.026937,-0.176875,0.026551,-0.151046,0.029371,0.156495,0.042553,0.178343,0.040631,0.478858,-0.026039,14225793,0.562841
0.005,0.028,0.22,0.03,0.03,0.2,0.2,-0.481356,-0.027882,-0.175964,0.010724,-0.146816,0.014084,0.159349,0.045986,0.178888,0.044741,0.478527,-0.025767,21109166,0.503216
0.009,0.025,0.15,0.03,0.03,0.2,0.2,-0.480866,-0.027548,-0.176204,0.016454,-0.148182,0.019655,0.158555,0.045483,0.178788,0.044015,0.478585,-0.025815,24205172,0.528414
0.011,0.016,0.35,0.03,0.03,0.2,0.2,-0.484924,-0.029962,-0.177102,-0.029178,-0.141552,-0.025588,0.160215,0.035171,0.177697,0.035148,0.479305,-0.026395,189529328,0.29481
0.007,0.013,0.17,0.03,0.03,0.2,0.2,-0.482251,-0.02846,-0.175787,0.000427,-0.144773,0.00399,0.160258,0.045349,0.178849,0.044461,0.47855,-0.025785,205962400,0.453037
0.005,0.018,0.02,0.03,0.03,0.2,0.2,-0.479592,-0.026618,-0.177335,0.031651,-0.15276,0.034216,0.155015,0.039628,0.177955,0.037433,0.479118,-0.026248,14995367,0.572423
0.002,0.016,0.09,0.03,0.03,0.2,0.2,-0.480635,-0.027386,-0.176354,0.019168,-0.148891,0.02228,0.158093,0.044984,0.178705,0.043403,0.478635,-0.025856,61029132,0.538829
0.02,0.029,0.15,0.03,0.03,0.2,0.2,-0.480665,-0.027407,-0.176333,0.018819,-0.148798,0.021942,0.158156,0.045059,0.178717,0.043493,0.478628,-0.02585,22567460,0.537429
0.009,0.019,0.26,0.03,0.03,0.2,0.2,-0.483014,-0.028922,-0.17589,-0.008191,-0.143441,-0.004536,0.160601,0.043557,0.178642,0.042938,0.478672,-0.025887,18478870,0.408135
0.007,0.022,0.01,0.03,0.03,0.2,0.2,-0.479448,-0.026507,-0.177512,0.033404,-0.153403,0.035869,0.154411,0.038285,0.17779,0.035986,0.479236,-0.026341,4329212,0.57429
0.012,0.02,0.27,0.03,0.03,0.2,0.2,-0.482971,-0.028897,-0.175878,-0.007713,-0.143507,-0.004062,0.160591,0.043684,0.178657,0.04305,0.478663,-0.025879,21566914,0.410453
0.005,0.018,0.17,0.03,0.03,0.2,0.2,-0.481678,-0.028095,-0.175862,0.006992,-0.146017,0.010438,0.159749,0.045965,0.178904,0.044855,0.478518,-0.025759,65530280,0.485902
0.007,0.03,0.01,0.03,0.03,0.2,0.2,-0.479422,-0.026487,-0.177545,0.033722,-0.153523,0.036167,0.154295,0.038018,0.177758,0.035699,0.47926,-0.02636,1423094.875,0.574186
0.01,0.016,0.23,0.03,0.03,0.2,0.2,-0.48297,-0.028896,-0.175878,-0.007696,-0.143509,-0.004045,0.16059,0.043688,0.178658,0.043054,0.478663,-0.025879,106242080,0.410944
0.009,0.015,0.17,0.03,0.03,0.2,0.2,-0.482016,-0.028312,-0.175801,0.003109,-0.145257,0.006629,0.160078,0.045684,0.178884,0.044708,0.47853,-0.025769,145375264,0.466679
0.005,0.011,0.28,0.03,0.03,0.2,0.2,-0.483043,-0.028939,-0.175898,-0.00852,-0.143397,-0.004863,0.160608,0.043469,0.178632,0.042859,0.478679,-0.025892,902050496,0.406425
