IRTT,	ORTT,	T1,		T2,	G,		HNG	,	phiL,	phiR,	UX1,		UY1	,	UX2	,	UY2	,	UX3	,	UY3	,	UX4	,	UY4	,	UX5,		UY5,		UX6	,	UY6,		UX7,		UY7,		UX8,		UY8,MaxVM,Error
  0.005000,  0.018000,  0.750000,  0.640000,  0.030000,  0.030000,  0.200000,  0.200000, -0.490000, -0.032016, -0.270357, -0.067662, -0.236203, -0.070678, -0.013712, -0.074066,  0.023105, -0.070156,  0.239923, -0.020118,  0.261290, -0.018218,  0.483535, -0.029222,520499808.000000,  0.028241
  0.011000,  0.028000,  0.230000,  0.170000,  0.030000,  0.030000,  0.200000,  0.200000, -0.481462, -0.027952, -0.260598, -0.000884, -0.234942,  0.000433, -0.012467, -0.003873,  0.021603, -0.002151,  0.242511,  0.024554,  0.261758,  0.023554,  0.478706, -0.025915,26338270.000000,  0.314554
  0.003000,  0.030000,  0.190000,  0.100000,  0.030000,  0.030000,  0.200000,  0.200000, -0.480952, -0.027608, -0.260622,  0.003509, -0.235801,  0.004908, -0.013370, -0.001256,  0.020546,  0.000073,  0.241813,  0.023620,  0.261655,  0.022491,  0.478822, -0.026009,26296670.000000,  0.331460
  0.006000,  0.012000,  0.640000,  0.580000,  0.030000,  0.030000,  0.200000,  0.200000, -0.490045, -0.032030, -0.270454, -0.067991, -0.232109, -0.068658, -0.011399, -0.040356,  0.019053, -0.036060,  0.238979, -0.002202,  0.260603, -0.001826,  0.481572, -0.028025,1384826112.000000,  0.082007
  0.004000,  0.023000,  0.530000,  0.270000,  0.030000,  0.030000,  0.200000,  0.200000, -0.485483, -0.030237, -0.262995, -0.033805, -0.235636, -0.035416, -0.014268, -0.057989,  0.025302, -0.055322,  0.241641, -0.003250,  0.260605, -0.002117,  0.481606, -0.028048,83274000.000000,  0.068362
  0.013000,  0.028000,  0.260000,  0.170000,  0.030000,  0.030000,  0.200000,  0.200000, -0.481751, -0.028142, -0.260620, -0.003351, -0.234948, -0.002296, -0.012528, -0.008866,  0.022283, -0.007009,  0.242742,  0.023184,  0.261646,  0.022397,  0.478832, -0.026018,31691486.000000,  0.287628
  0.004000,  0.024000,  0.600000,  0.320000,  0.030000,  0.030000,  0.200000,  0.200000, -0.486031, -0.030494, -0.263643, -0.038073, -0.235837, -0.040000, -0.014530, -0.063181,  0.025231, -0.060466,  0.241335, -0.007429,  0.260673, -0.006069,  0.482072, -0.028347,99883936.000000,  0.053060
  0.020000,  0.028000,  0.460000,  0.390000,  0.030000,  0.030000,  0.200000,  0.200000, -0.483763, -0.029349, -0.261440, -0.020078, -0.233433, -0.019833, -0.010981, -0.025216,  0.025082, -0.022257,  0.243680,  0.019319,  0.261364,  0.019162,  0.479187, -0.026302,45320948.000000,  0.196604
  0.005000,  0.020000,  0.140000,  0.120000,  0.030000,  0.030000,  0.200000,  0.200000, -0.481078, -0.027694, -0.260608,  0.002417, -0.234986,  0.004082, -0.012474,  0.002746,  0.020544,  0.004251,  0.242013,  0.025827,  0.261856,  0.024524,  0.478601, -0.025828,43245088.000000,  0.350723
  0.011000,  0.018000,  0.200000,  0.190000,  0.030000,  0.030000,  0.200000,  0.200000, -0.482118, -0.028377, -0.260683, -0.006462, -0.233655, -0.005103, -0.011139, -0.004689,  0.022550, -0.002475,  0.243208,  0.026225,  0.261933,  0.025269,  0.478520, -0.025761,93344688.000000,  0.304405
  0.007000,  0.026000,  0.410000,  0.360000,  0.030000,  0.030000,  0.200000,  0.200000, -0.483550, -0.029230, -0.261300, -0.018339, -0.233349, -0.017916, -0.010871, -0.022076,  0.024829, -0.019182,  0.243731,  0.020764,  0.261475,  0.020490,  0.479041, -0.026186,33315532.000000,  0.211827
  0.006000,  0.027000,  0.650000,  0.430000,  0.030000,  0.030000,  0.200000,  0.200000, -0.485945, -0.030454, -0.263537, -0.037409, -0.235027, -0.038986, -0.013208, -0.056592,  0.025780, -0.053481,  0.242000, -0.000923,  0.260596,  0.000123,  0.481345, -0.027874,79040536.000000,  0.071421
