IRTT,	ORTT,	T1,		T2,		T3,		G,		HNG,		phiL,	phiR,	X1,		Y1,		X2,		Y2,		X3,		Y3,		X4,		Y4,		X5,		Y5,		X6,		Y6,		X7,		Y7,		X8,		Y8,		X9,		Y9,		X10,		Y10,		MaxVM, Error
  0.007000,  0.021000,  0.160000,  0.150000,  0.130000,  0.030000,  0.030000,  0.200000,  0.200000, -0.481283, -0.027833, -0.311087, -0.005862, -0.285132, -0.004229, -0.113525, -0.004688, -0.081766, -0.003828,  0.089565,  0.005916,  0.119463,  0.007588,  0.290812,  0.017018,  0.311600,  0.015096,  0.478315, -0.025588,27170956.000000,  0.301936
  0.006000,  0.013000,  0.560000,  0.290000,  0.140000,  0.030000,  0.030000,  0.200000,  0.200000, -0.488279, -0.031426, -0.317647, -0.049697, -0.285380, -0.051871, -0.113839, -0.056653, -0.080073, -0.055425,  0.090667, -0.038196,  0.122871, -0.033549,  0.291516, -0.001799,  0.311002, -0.001463,  0.480640, -0.027389,1079494656.000000,  0.071453
  0.002000,  0.012000,  0.520000,  0.340000,  0.120000,  0.030000,  0.030000,  0.200000,  0.200000, -0.488367, -0.031459, -0.317786, -0.050205, -0.284138, -0.051788, -0.112551, -0.049139, -0.079203, -0.046680,  0.090916, -0.024126,  0.120838, -0.020059,  0.290805,  0.003611,  0.311024,  0.003226,  0.479966, -0.026901,830091584.000000,  0.107289
  0.011000,  0.019000,  0.500000,  0.470000,  0.140000,  0.030000,  0.030000,  0.200000,  0.200000, -0.486284, -0.030608, -0.314831, -0.037878, -0.283547, -0.038527, -0.111940, -0.038375, -0.079796, -0.037175,  0.091345, -0.024527,  0.124049, -0.020462,  0.293078,  0.009175,  0.311205,  0.008878,  0.479170, -0.026289,197290048.000000,  0.128775
  0.012000,  0.016000,  0.070000,  0.060000,  0.050000,  0.030000,  0.030000,  0.200000,  0.200000, -0.480355, -0.027186, -0.310997,  0.000511, -0.286057,  0.002527, -0.114450,  0.002403, -0.083548,  0.002849,  0.087985,  0.007924,  0.118133,  0.008898,  0.289635,  0.014911,  0.311431,  0.012810,  0.478627, -0.025850,58604772.000000,  0.329845
  0.007000,  0.018000,  0.750000,  0.520000,  0.150000,  0.030000,  0.030000,  0.200000,  0.200000, -0.490010, -0.032019, -0.320628, -0.059564, -0.287820, -0.063201, -0.116517, -0.073423, -0.083830, -0.073888,  0.087694, -0.068541,  0.122949, -0.064083,  0.290404, -0.026560,  0.312583, -0.024439,  0.484115, -0.029541,566687104.000000,  0.015928
  0.014000,  0.023000,  0.340000,  0.250000,  0.040000,  0.030000,  0.030000,  0.200000,  0.200000, -0.483234, -0.029050, -0.311933, -0.018797, -0.284772, -0.018442, -0.113262, -0.024222, -0.082746, -0.024983,  0.088839, -0.027754,  0.124678, -0.024657,  0.293245,  0.007504,  0.311142,  0.007414,  0.479375, -0.026450,58626840.000000,  0.152388
  0.012000,  0.016000,  0.500000,  0.380000,  0.080000,  0.030000,  0.030000,  0.200000,  0.200000, -0.486638, -0.030765, -0.315280, -0.040009, -0.283594, -0.040815, -0.111987, -0.040293, -0.080156, -0.039206,  0.091087, -0.028025,  0.124319, -0.023874,  0.293050,  0.007413,  0.311137,  0.007281,  0.479394, -0.026465,642591040.000000,  0.116727
  0.002000,  0.014000,  1.000000,  0.910000,  0.170000,  0.030000,  0.030000,  0.200000,  0.200000, -0.492931, -0.032788, -0.326713, -0.075459, -0.288492, -0.079483, -0.117033, -0.072358, -0.085857, -0.070416,  0.085161, -0.056196,  0.113961, -0.054350,  0.285394, -0.046611,  0.316354, -0.044683,  0.487423, -0.031094,2181028864.000000,  0.013705
  0.003000,  0.022000,  0.890000,  0.480000,  0.010000,  0.030000,  0.030000,  0.200000,  0.200000, -0.489172, -0.031745, -0.319124, -0.054828, -0.288069, -0.058379, -0.117200, -0.074283, -0.086674, -0.076800,  0.084492, -0.089104,  0.121944, -0.086927,  0.290531, -0.054872,  0.317931, -0.050728,  0.488457, -0.031492,826981632.000000,  0.005715
