IRTT,"	ORTT","	T1","		T2","		T3","		G","		HNG","		phiL","	phiR","	UX1","		UY1","		UX2	","	UY2	","	UX3	","	UY3	","	UX4	","	UY4","		UX5","		UY5","		UX6","		UY6	","	UX7","		UY7","		UX8","		UY8","		UX9","		UY9","		UX10","		UY10","		MaxVM",Error
0.015,0.028,0.91,0.86,0.17,0.041,0.021,0.11,0.16,-0.483412,-0.024209,-0.326015,-0.051653,-0.281267,-0.055043,-0.121532,-0.051623,-0.079555,-0.049689,0.079819,-0.038412,0.120245,-0.036036,0.279842,-0.028559,0.320519,-0.026935,0.480204,-0.021665,814115840,0.022883
0.019,0.027,0.5,0.29,0.11,0.04,0.038,0.13,0.15,-0.481727,-0.03886,-0.321097,-0.046084,-0.281822,-0.048195,-0.121343,-0.058234,-0.07987,-0.059998,0.080882,-0.063616,0.128084,-0.059981,0.286386,-0.031793,0.317668,-0.029745,0.478294,-0.037052,115404920,0.03451
0.003,0.02,0.46,0.45,0.03,0.033,0.044,0.3,0.2,-0.479657,-0.04236,-0.310645,-0.027287,-0.282651,-0.026369,-0.113016,-0.030331,-0.079259,-0.030827,0.09042,-0.031854,0.132771,-0.027371,0.298474,0.009157,0.308894,0.008837,0.472048,-0.037775,128464672,0.211056
0.018,0.029,0.33,0.3,0.16,0.047,0.048,0.19,0.28,-0.472688,-0.045938,-0.317843,-0.03335,-0.273836,-0.031114,-0.118512,-0.027947,-0.06902,-0.025615,0.085913,-0.014159,0.134924,-0.009375,0.289147,0.009348,0.314948,0.007028,0.463359,-0.038906,38037084,0.275938
0.018,0.03,0.12,0.12,0.14,0.029,0.027,0.16,0.16,-0.482334,-0.025043,-0.311575,-0.004187,-0.285952,-0.002626,-0.113925,-0.002603,-0.083725,-0.001919,0.088127,0.005842,0.116354,0.006721,0.288356,0.009669,0.311687,0.00771,0.480789,-0.023878,6491482.5,0.272526
0.007,0.01,0.13,0.12,0.18,0.032,0.023,0.29,0.13,-0.479637,-0.019244,-0.313035,0.01554,-0.286977,0.017722,-0.11691,0.011126,-0.081501,0.012473,0.087573,0.031976,0.115345,0.032692,0.285199,0.021927,0.31325,0.017946,0.479391,-0.018981,306704768,0.399937
0.007,0.019,0.11,0.06,0.16,0.029,0.044,0.14,0.19,-0.481776,-0.042593,-0.310278,-0.027814,-0.285412,-0.026831,-0.113282,-0.028014,-0.080776,-0.026926,0.09089,-0.014238,0.118745,-0.012525,0.290672,-0.004093,0.308327,-0.005456,0.476924,-0.040172,25280370,0.237458
0.011,0.022,0.08,0.07,0.02,0.048,0.05,0.19,0.24,-0.468515,-0.045658,-0.316488,-0.021719,-0.275873,-0.01826,-0.121988,-0.016147,-0.073543,-0.015263,0.080317,-0.011755,0.130194,-0.009654,0.283804,-0.000211,0.315236,-0.003283,0.464112,-0.042285,24757340,0.316271
0.007,0.024,0.03,0.02,0.15,0.032,0.02,0.18,0.19,-0.480895,-0.017059,-0.31388,0.011125,-0.285476,0.013473,-0.1161,0.013096,-0.082938,0.014008,0.086161,0.023695,0.116341,0.024074,0.285629,0.018636,0.314189,0.015445,0.480504,-0.01661,15700318,0.3385
0.006,0.023,0.14,0.1,0.04,0.033,0.022,0.11,0.14,-0.482361,-0.021098,-0.314954,-0.012246,-0.283249,-0.011487,-0.11561,-0.012321,-0.082238,-0.012204,0.085391,-0.010197,0.119967,-0.008493,0.28698,0.006,0.314621,0.005167,0.48046,-0.01935,21888672,0.159299
0.003,0.026,0.32,0.25,0.1,0.03,0.044,0.22,0.18,-0.48056,-0.042227,-0.309834,-0.024598,-0.286144,-0.023836,-0.114638,-0.030467,-0.083042,-0.031111,0.088591,-0.031474,0.125164,-0.028732,0.294825,-0.002782,0.308276,-0.003206,0.475966,-0.039791,42371684,0.191029
0.014,0.022,0.3,0.23,0.1,0.025,0.049,0.13,0.16,-0.487416,-0.048979,-0.311559,-0.048678,-0.287434,-0.048852,-0.111599,-0.051688,-0.084437,-0.051525,0.091352,-0.046577,0.12156,-0.044071,0.295761,-0.019992,0.30641,-0.020066,0.480261,-0.046558,72471688,0.11157
